PROLIFIC_PID,AwarenessType,TotalAccuracy
5638e8a444e8c8000ee86a35,S-S Cued Recall,4
5638e8a444e8c8000ee86a35,S1-R Contingency,2
5638e8a444e8c8000ee86a35,S1-R Contingency-yn,2
5638e8a444e8c8000ee86a35,S1-R Transfer Awareness,1
5638e8a444e8c8000ee86a35,S2-R Contingency,4
5638e8a444e8c8000ee86a35,S2-R Contingency-yn,3
56a8bb427f2472000b9522f6,S-S Cued Recall,1
56a8bb427f2472000b9522f6,S1-R Contingency,1
56a8bb427f2472000b9522f6,S1-R Contingency-yn,2
56a8bb427f2472000b9522f6,S1-R Transfer Awareness,1
56a8bb427f2472000b9522f6,S2-R Contingency,2
56a8bb427f2472000b9522f6,S2-R Contingency-yn,4
580decae240a2d0001e6bab3,S-S Cued Recall,3
580decae240a2d0001e6bab3,S1-R Contingency,2
580decae240a2d0001e6bab3,S1-R Contingency-yn,1
580decae240a2d0001e6bab3,S1-R Transfer Awareness,1
580decae240a2d0001e6bab3,S2-R Contingency,2
580decae240a2d0001e6bab3,S2-R Contingency-yn,3
59e1e3a23e4b5a00016a9c17,S-S Cued Recall,4
59e1e3a23e4b5a00016a9c17,S1-R Contingency,2
59e1e3a23e4b5a00016a9c17,S1-R Contingency-yn,2
59e1e3a23e4b5a00016a9c17,S1-R Transfer Awareness,1
59e1e3a23e4b5a00016a9c17,S2-R Contingency,3
59e1e3a23e4b5a00016a9c17,S2-R Contingency-yn,4
5aeb063b2f05b500013028a0,S-S Cued Recall,3
5aeb063b2f05b500013028a0,S1-R Contingency,0
5aeb063b2f05b500013028a0,S1-R Contingency-yn,0
5aeb063b2f05b500013028a0,S1-R Transfer Awareness,0
5aeb063b2f05b500013028a0,S2-R Contingency,0
5aeb063b2f05b500013028a0,S2-R Contingency-yn,0
5b2870cf7f78160001465bf9,S-S Cued Recall,4
5b2870cf7f78160001465bf9,S1-R Contingency,0
5b2870cf7f78160001465bf9,S1-R Contingency-yn,1
5b2870cf7f78160001465bf9,S1-R Transfer Awareness,2
5b2870cf7f78160001465bf9,S2-R Contingency,0
5b2870cf7f78160001465bf9,S2-R Contingency-yn,1
5b985404a15058000124e508,S-S Cued Recall,3
5b985404a15058000124e508,S1-R Contingency,1
5b985404a15058000124e508,S1-R Contingency-yn,1
5b985404a15058000124e508,S1-R Transfer Awareness,1
5b985404a15058000124e508,S2-R Contingency,2
5b985404a15058000124e508,S2-R Contingency-yn,3
5bc9e924e642db0001d3a1c5,S-S Cued Recall,4
5bc9e924e642db0001d3a1c5,S1-R Contingency,1
5bc9e924e642db0001d3a1c5,S1-R Contingency-yn,1
5bc9e924e642db0001d3a1c5,S1-R Transfer Awareness,0
5bc9e924e642db0001d3a1c5,S2-R Contingency,1
5bc9e924e642db0001d3a1c5,S2-R Contingency-yn,1
5c1942e200849900010afdcd,S-S Cued Recall,3
5c1942e200849900010afdcd,S1-R Contingency,2
5c1942e200849900010afdcd,S1-R Contingency-yn,2
5c1942e200849900010afdcd,S1-R Transfer Awareness,0
5c1942e200849900010afdcd,S2-R Contingency,2
5c1942e200849900010afdcd,S2-R Contingency-yn,3
5c4d1a6c9ce35100019dbc88,S-S Cued Recall,4
5c4d1a6c9ce35100019dbc88,S1-R Contingency,1
5c4d1a6c9ce35100019dbc88,S1-R Contingency-yn,0
5c4d1a6c9ce35100019dbc88,S1-R Transfer Awareness,1
5c4d1a6c9ce35100019dbc88,S2-R Contingency,3
5c4d1a6c9ce35100019dbc88,S2-R Contingency-yn,0
5cfc7489e289a80016b6e29f,S-S Cued Recall,4
5cfc7489e289a80016b6e29f,S1-R Contingency,1
