PROLIFIC_PID,AwarenessType,Question,Answer,awarenext.corr,QuizAccuracy,awarenext.keys,awarenext.rt,Awareness.thisRepN,Awareness.thisTrialN,Awareness.thisN,Awareness.thisIndex,Awareness.ran,GuessResp.keys,GuessResp.rt,Option1,Option2,Option3,Stim1,Stim2,SSAwareness,S2RAwareness,S2RAwarenessyn,S1Awarenessyn,S1Awareness,S1TransferAwareness
60dbd1a6bb3d411213cef6bc,S-S Cued Recall,What word should have appeared?,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,4.23,calm,Don't Know,neat,Max,neat,1,NA,NA,NA,NA,NA
60dbd1a6bb3d411213cef6bc,S-S Cued Recall,What word should have appeared?,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1.659,bold,Don't Know,fair,Tim,fair,1,NA,NA,NA,NA,NA
60dbd1a6bb3d411213cef6bc,S-S Cued Recall,What word should have appeared?,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1.894,fair,Don't Know,calm,Ron,calm,1,NA,NA,NA,NA,NA
60dbd1a6bb3d411213cef6bc,S-S Cued Recall,What word should have appeared?,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2.785,bold,Don't Know,fair,Jack,bold,1,NA,NA,NA,NA,NA
60dbd1a6bb3d411213cef6bc,S2-R Contingency-yn,Do you think `bold` mostly appeared in a particular colour?,j,0,NA,n,7.88,0,0,0,0,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Jack,bold,NA,NA,0,NA,NA,NA
60dbd1a6bb3d411213cef6bc,S2-R Contingency,Which colour almost always occurred with the word `bold`?,d,0,NA,l,6.077,0,1,1,1,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Jack,bold,NA,0,NA,NA,NA,NA
60dbd1a6bb3d411213cef6bc,S2-R Contingency-yn,Do you think `fair` mostly appeared in a particular colour?,j,1,NA,j,5.516,0,2,2,2,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Tim,fair,NA,NA,1,NA,NA,NA
60dbd1a6bb3d411213cef6bc,S2-R Contingency,Which colour almost always occurred with the word `fair`?,l,0,NA,d,2.21,0,3,3,3,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Tim,fair,NA,0,NA,NA,NA,NA
60dbd1a6bb3d411213cef6bc,S1-R Contingency-yn,Do you think `Jack` mostly appeared in a particular colour?,j,0,NA,n,3.318,0,4,4,4,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Jack,bold,NA,NA,NA,0,NA,NA
60dbd1a6bb3d411213cef6bc,S1-R Contingency,Which colour almost always occurred with the word `Jack`?,d,1,NA,d,2.656,0,5,5,5,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Jack,bold,NA,NA,NA,NA,1,NA
60dbd1a6bb3d411213cef6bc,S2-R Contingency-yn,Do you think `neat` mostly appeared in a particular colour?,j,1,NA,j,6.716,0,6,6,6,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Max,neat,NA,NA,1,NA,NA,NA
60dbd1a6bb3d411213cef6bc,S2-R Contingency,Which colour almost always occurred with the word `neat`?,d,0,NA,l,3.514,0,7,7,7,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Max,neat,NA,0,NA,NA,NA,NA
60dbd1a6bb3d411213cef6bc,S1-R Contingency-yn,Do you think `Ron` mostly appeared in a particular colour?,j,0,NA,n,4.167,0,8,8,8,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Ron,calm,NA,NA,NA,0,NA,NA
