ChkFree,Stim1,Stim2,Validity,CorrectAnswer,FreeChoiceResp,Response.keys,FreeChoiceAccuracy,FreeRT,Phase,Condition,ChoiceType,Response.corr,PROLIFIC_PID,Age,Sex,Handedness,Native Language,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,browser,xResolution,yResolution,SSPhase.thisRepN,SSPhase.thisTrialN,SSPhase.thisN,SSPhase.thisIndex,SSPhase.ran,Colour,Question,Part1Resp.keys,Part1Resp.rt,AttentionQuestion,AttentionAnswer,Phase2Start.keys,Phase2Start.rt,PrestimulusDuration,PreResp.keys,PreResp.corr,RT_main,RT_secondary,Continue.keys,Continue.rt,Part2Resp.keys,Part2Resp.rt,Phase3_1.thisRepN,Phase3_1.thisTrialN,Phase3_1.thisN,Phase3_1.thisIndex,Phase3_1.ran,PreResp.rt,Continue_2.keys,Phase3_2.thisRepN,Phase3_2.thisTrialN,Phase3_2.thisN,Phase3_2.thisIndex,Phase3_2.ran,Continue_2.rt,Option1,Option2,Option3,GuessResp.keys,GuessResp.rt,QuizAccuracy,SSGuess.thisRepN,SSGuess.thisTrialN,SSGuess.thisN,SSGuess.thisIndex,SSGuess.ran,awarenext.keys,awarenext.corr,awarenext.rt,AwarenessType,Answer,Performance,FreeGuessAcc,BonusPayment,Endresp.keys,Endresp.rt,debriefend.keys,debriefend.rt,Outlier,Farouts,RT_io
0,NA,fair,NA,l,d,"[""d""]",0,NA,3.1,S2-R,Free,0,5638e8a444e8c8000ee86a35,27,female,right,English,2022-06-01_14h58.54.678,Experiment5,2021.2.3,MacIntel,60.0024001,62973d493be2483a81f20382,6297707e9c4f22922dc76ca1,Chrome,1440,900,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.25,NA,0,1763.399999618514,NA,NA,NA,space,13.2067,0,0,0,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1808.299999415894,2554.6249991655827,NA
1,NA,neat,NA,d,d,"[""d""]",1,716.4999999999964,3.1,S2-R,Free,1,5638e8a444e8c8000ee86a35,27,female,right,English,2022-06-01_14h58.54.678,Experiment5,2021.2.3,MacIntel,60.0024001,62973d493be2483a81f20382,6297707e9c4f22922dc76ca1,Chrome,1440,900,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.3,NA,0,716.4999999999964,NA,NA,NA,NA,NA,0,1,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1808.299999415894,2554.6249991655827,716.4999999999964
1,Ron,NA,NA,l,l,"[""l""]",1,568.8000001907199,3.1,S1-R Coloured,Free,1,5638e8a444e8c8000ee86a35,27,female,right,English,2022-06-01_14h58.54.678,Experiment5,2021.2.3,MacIntel,60.0024001,62973d493be2483a81f20382,6297707e9c4f22922dc76ca1,Chrome,1440,900,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.3,NA,0,568.8000001907199,NA,NA,NA,NA,NA,0,2,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1808.299999415894,2554.6249991655827,568.8000001907199
1,Max,NA,NA,d,d,"[""d""]",1,1316.000000000031,3.1,S1-R Transfer,Free,1,5638e8a444e8c8000ee86a35,27,female,right,English,2022-06-01_14h58.54.678,Experiment5,2021.2.3,MacIntel,60.0024001,62973d493be2483a81f20382,6297707e9c4f22922dc76ca1,Chrome,1440,900,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.25,NA,0,1316.000000000031,NA,NA,NA,NA,NA,0,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1808.299999415894,2554.6249991655827,1316.000000000031
0,NA,calm,NA,l,d,"[""d""]",0,NA,3.1,S2-R,Free,0,5638e8a444e8c8000ee86a35,27,female,right,English,2022-06-01_14h58.54.678,Experiment5,2021.2.3,MacIntel,60.0024001,62973d493be2483a81f20382,6297707e9c4f22922dc76ca1,Chrome,1440,900,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.25,NA,0,1450.2000002860882,NA,NA,NA,NA,NA,0,4,4,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1808.299999415894,2554.6249991655827,NA
1,Jack,NA,NA,d,d,"[""d""]",1,786.599999904638,3.1,S1-R Coloured,Free,1,5638e8a444e8c8000ee86a35,27,female,right,English,2022-06-01_14h58.54.678,Experiment5,2021.2.3,MacIntel,60.0024001,62973d493be2483a81f20382,6297707e9c4f22922dc76ca1,Chrome,1440,900,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.2,NA,0,786.599999904638,NA,NA,NA,NA,NA,0,5,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1808.299999415894,2554.6249991655827,786.599999904638
1,Tim,NA,NA,l,l,"[""l""]",1,966.4000000953479,3.1,S1-R Transfer,Free,1,5638e8a444e8c8000ee86a35,27,female,right,English,2022-06-01_14h58.54.678,Experiment5,2021.2.3,MacIntel,60.0024001,62973d493be2483a81f20382,6297707e9c4f22922dc76ca1,Chrome,1440,900,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.25,NA,0,966.4000000953479,NA,NA,NA,NA,NA,0,6,6,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1808.299999415894,2554.6249991655827,966.4000000953479
1,NA,bold,NA,d,d,"[""d""]",1,662.0000000000346,3.1,S2-R,Free,1,5638e8a444e8c8000ee86a35,27,female,right,English,2022-06-01_14h58.54.678,Experiment5,2021.2.3,MacIntel,60.0024001,62973d493be2483a81f20382,6297707e9c4f22922dc76ca1,Chrome,1440,900,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.15,NA,0,662.0000000000346,NA,NA,NA,NA,NA,0,7,7,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1808.299999415894,2554.6249991655827,662.0000000000346
1,NA,fair,NA,l,l,"[""l""]",1,394.1999998092456,3.1,S2-R,Free,1,5638e8a444e8c8000ee86a35,27,female,right,English,2022-06-01_14h58.54.678,Experiment5,2021.2.3,MacIntel,60.0024001,62973d493be2483a81f20382,6297707e9c4f22922dc76ca1,Chrome,1440,900,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.3,NA,0,394.1999998092456,NA,NA,NA,NA,NA,1,0,8,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1808.299999415894,2554.6249991655827,394.1999998092456
1,NA,bold,NA,d,d,"[""d""]",1,713.8000001907017,3.1,S2-R,Free,1,5638e8a444e8c8000ee86a35,27,female,right,English,2022-06-01_14h58.54.678,Experiment5,2021.2.3,MacIntel,60.0024001,62973d493be2483a81f20382,6297707e9c4f22922dc76ca1,Chrome,1440,900,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.25,NA,0,713.8000001907017,NA,NA,NA,NA,NA,1,1,9,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1808.299999415894,2554.6249991655827,713.8000001907017
