ChkFree,Stim1,Stim2,Validity,CorrectAnswer,FreeChoiceResp,Response.keys,FreeChoiceAccuracy,FreeRT,Phase,Condition,ChoiceType,Response.corr,PROLIFIC_PID,Age,Sex,Handedness,Native Language,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,browser,xResolution,yResolution,SSPhase.thisRepN,SSPhase.thisTrialN,SSPhase.thisN,SSPhase.thisIndex,SSPhase.ran,Colour,Question,Part1Resp.keys,Part1Resp.rt,AttentionQuestion,AttentionAnswer,Phase2Start.keys,Phase2Start.rt,PrestimulusDuration,PreResp.keys,PreResp.corr,RT_main,RT_secondary,Continue.keys,Continue.rt,Part2Resp.keys,Part2Resp.rt,Phase3_1.thisRepN,Phase3_1.thisTrialN,Phase3_1.thisN,Phase3_1.thisIndex,Phase3_1.ran,PreResp.rt,Continue_2.keys,Phase3_2.thisRepN,Phase3_2.thisTrialN,Phase3_2.thisN,Phase3_2.thisIndex,Phase3_2.ran,Continue_2.rt,Option1,Option2,Option3,GuessResp.keys,GuessResp.rt,QuizAccuracy,SSGuess.thisRepN,SSGuess.thisTrialN,SSGuess.thisN,SSGuess.thisIndex,SSGuess.ran,awarenext.keys,awarenext.corr,awarenext.rt,AwarenessType,Answer,Performance,FreeGuessAcc,BonusPayment,Endresp.keys,Endresp.rt,debriefend.keys,debriefend.rt,Outlier,Farouts,RT_io
1,Max,NA,Valid,d,d,"[""d""]",1,1316.000000000031,3.1,S1-R Transfer,Free,1,5638e8a444e8c8000ee86a35,27,female,right,English,2022-06-01_14h58.54.678,Experiment5,2021.2.3,MacIntel,60.0024001,62973d493be2483a81f20382,6297707e9c4f22922dc76ca1,Chrome,1440,900,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.25,NA,0,1316.000000000031,NA,NA,NA,NA,NA,0,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1808.299999415894,2554.6249991655827,1316.000000000031
1,Tim,NA,Valid,l,l,"[""l""]",1,966.400000095348,3.1,S1-R Transfer,Free,1,5638e8a444e8c8000ee86a35,27,female,right,English,2022-06-01_14h58.54.678,Experiment5,2021.2.3,MacIntel,60.0024001,62973d493be2483a81f20382,6297707e9c4f22922dc76ca1,Chrome,1440,900,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.25,NA,0,966.400000095348,NA,NA,NA,NA,NA,0,6,6,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1808.299999415894,2554.6249991655827,966.400000095348
1,Max,NA,Valid,d,d,"[""d""]",1,1980.900000095346,3.1,S1-R Transfer,Free,1,5638e8a444e8c8000ee86a35,27,female,right,English,2022-06-01_14h58.54.678,Experiment5,2021.2.3,MacIntel,60.0024001,62973d493be2483a81f20382,6297707e9c4f22922dc76ca1,Chrome,1440,900,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.2,NA,0,1980.900000095346,NA,NA,NA,NA,NA,1,2,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1808.299999415894,2554.6249991655827,NA
1,Tim,NA,Valid,l,l,"[""l""]",1,726.9000000953838,3.1,S1-R Transfer,Free,1,5638e8a444e8c8000ee86a35,27,female,right,English,2022-06-01_14h58.54.678,Experiment5,2021.2.3,MacIntel,60.0024001,62973d493be2483a81f20382,6297707e9c4f22922dc76ca1,Chrome,1440,900,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.15,NA,0,726.9000000953838,NA,NA,NA,NA,NA,1,3,11,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1808.299999415894,2554.6249991655827,726.9000000953838
1,Max,NA,Valid,d,d,"[""d""]",1,1732.7000002861157,3.1,S1-R Transfer,Free,1,5638e8a444e8c8000ee86a35,27,female,right,English,2022-06-01_14h58.54.678,Experiment5,2021.2.3,MacIntel,60.0024001,62973d493be2483a81f20382,6297707e9c4f22922dc76ca1,Chrome,1440,900,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.25,NA,0,1732.7000002861157,NA,NA,NA,NA,NA,2,2,18,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1808.299999415894,2554.6249991655827,1732.7000002861157
1,Tim,NA,Valid,l,l,"[""l""]",1,738.6999998092278,3.1,S1-R Transfer,Free,1,5638e8a444e8c8000ee86a35,27,female,right,English,2022-06-01_14h58.54.678,Experiment5,2021.2.3,MacIntel,60.0024001,62973d493be2483a81f20382,6297707e9c4f22922dc76ca1,Chrome,1440,900,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.25,NA,0,738.6999998092278,NA,NA,NA,NA,NA,2,6,22,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1808.299999415894,2554.6249991655827,738.6999998092278
1,Max,NA,Valid,d,d,"[""d""]",1,1267.5999999046326,3.1,S1-R Transfer,Free,1,5638e8a444e8c8000ee86a35,27,female,right,English,2022-06-01_14h58.54.678,Experiment5,2021.2.3,MacIntel,60.0024001,62973d493be2483a81f20382,6297707e9c4f22922dc76ca1,Chrome,1440,900,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.15,NA,0,1267.5999999046326,NA,NA,NA,NA,NA,3,6,30,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1808.299999415894,2554.6249991655827,1267.5999999046326
1,Tim,NA,Valid,l,l,"[""l""]",1,751.3000001907812,3.1,S1-R Transfer,Free,1,5638e8a444e8c8000ee86a35,27,female,right,English,2022-06-01_14h58.54.678,Experiment5,2021.2.3,MacIntel,60.0024001,62973d493be2483a81f20382,6297707e9c4f22922dc76ca1,Chrome,1440,900,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.25,NA,0,751.3000001907812,NA,NA,NA,NA,NA,3,7,31,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1808.299999415894,2554.6249991655827,751.3000001907812
1,Max,NA,Valid,d,d,"[""d""]",1,701.2000002861214,3.1,S1-R Transfer,Free,1,5638e8a444e8c8000ee86a35,27,female,right,English,2022-06-01_14h58.54.678,Experiment5,2021.2.3,MacIntel,60.0024001,62973d493be2483a81f20382,6297707e9c4f22922dc76ca1,Chrome,1440,900,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.25,NA,0,701.2000002861214,NA,NA,NA,NA,NA,4,2,34,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1808.299999415894,2554.6249991655827,701.2000002861214
1,Tim,NA,Valid,l,l,"[""l""]",1,953.599999904668,3.1,S1-R Transfer,Free,1,5638e8a444e8c8000ee86a35,27,female,right,English,2022-06-01_14h58.54.678,Experiment5,2021.2.3,MacIntel,60.0024001,62973d493be2483a81f20382,6297707e9c4f22922dc76ca1,Chrome,1440,900,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.25,NA,0,953.599999904668,NA,NA,NA,NA,NA,4,4,36,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1808.299999415894,2554.6249991655827,953.599999904668
1,Tim,NA,Valid,l,l,"[""l""]",1,833.6999998092551,3.1,S1-R Transfer,Free,1,5638e8a444e8c8000ee86a35,27,female,right,English,2022-06-01_14h58.54.678,Experiment5,2021.2.3,MacIntel,60.0024001,62973d493be2483a81f20382,6297707e9c4f22922dc76ca1,Chrome,1440,900,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.3,NA,0,833.6999998092551,NA,NA,NA,NA,NA,5,0,40,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1808.299999415894,2554.6249991655827,833.6999998092551
1,Max,NA,Valid,d,d,"[""d""]",1,565.0999999045325,3.1,S1-R Transfer,Free,1,5638e8a444e8c8000ee86a35,27,female,right,English,2022-06-01_14h58.54.678,Experiment5,2021.2.3,MacIntel,60.0024001,62973d493be2483a81f20382,6297707e9c4f22922dc76ca1,Chrome,1440,900,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.2,NA,0,565.0999999045325,NA,NA,NA,NA,NA,5,1,41,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1808.299999415894,2554.6249991655827,565.0999999045325
1,Max,NA,Valid,d,d,"[""d""]",1,533.9000000954002,3.1,S1-R Transfer,Free,1,5638e8a444e8c8000ee86a35,27,female,right,English,2022-06-01_14h58.54.678,Experiment5,2021.2.3,MacIntel,60.0024001,62973d493be2483a81f20382,6297707e9c4f22922dc76ca1,Chrome,1440,900,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.25,NA,0,533.9000000954002,NA,NA,NA,NA,NA,6,0,48,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1808.299999415894,2554.6249991655827,533.9000000954002
1,Tim,NA,Valid,l,l,"[""l""]",1,703.2999997138631,3.1,S1-R Transfer,Free,1,5638e8a444e8c8000ee86a35,27,female,right,English,2022-06-01_14h58.54.678,Experiment5,2021.2.3,MacIntel,60.0024001,62973d493be2483a81f20382,6297707e9c4f22922dc76ca1,Chrome,1440,900,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.15,NA,0,703.2999997138631,NA,NA,NA,NA,NA,6,6,54,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1808.299999415894,2554.6249991655827,703.2999997138631
1,Tim,NA,Valid,l,l,"[""l""]",1,381.8000001907649,3.1,S1-R Transfer,Free,1,5638e8a444e8c8000ee86a35,27,female,right,English,2022-06-01_14h58.54.678,Experiment5,2021.2.3,MacIntel,60.0024001,62973d493be2483a81f20382,6297707e9c4f22922dc76ca1,Chrome,1440,900,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.3,NA,0,381.8000001907649,NA,NA,NA,NA,NA,7,3,59,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1808.299999415894,2554.6249991655827,381.8000001907649
1,Max,NA,Valid,d,d,"[""d""]",1,600.0999999046144,3.1,S1-R Transfer,Free,1,5638e8a444e8c8000ee86a35,27,female,right,English,2022-06-01_14h58.54.678,Experiment5,2021.2.3,MacIntel,60.0024001,62973d493be2483a81f20382,6297707e9c4f22922dc76ca1,Chrome,1440,900,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.15,NA,0,600.0999999046144,NA,NA,NA,NA,NA,7,5,61,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1808.299999415894,2554.6249991655827,600.0999999046144
1,Tim,NA,Valid,l,l,"[""l""]",1,1065.899999618523,3.1,S1-R Transfer,Free,1,5638e8a444e8c8000ee86a35,27,female,right,English,2022-06-01_14h58.54.678,Experiment5,2021.2.3,MacIntel,60.0024001,62973d493be2483a81f20382,6297707e9c4f22922dc76ca1,Chrome,1440,900,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.15,NA,0,1065.899999618523,NA,NA,NA,NA,NA,8,4,68,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1808.299999415894,2554.6249991655827,1065.899999618523
1,Max,NA,Valid,d,d,"[""d""]",1,400.80000019077033,3.1,S1-R Transfer,Free,1,5638e8a444e8c8000ee86a35,27,female,right,English,2022-06-01_14h58.54.678,Experiment5,2021.2.3,MacIntel,60.0024001,62973d493be2483a81f20382,6297707e9c4f22922dc76ca1,Chrome,1440,900,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.25,NA,0,400.80000019077033,NA,NA,NA,NA,NA,8,6,70,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1808.299999415894,2554.6249991655827,400.80000019077033
