PROLIFIC_PID,Condition,Validity,PC
5638e8a444e8c8000ee86a35,S1-R Coloured,Valid,1
5638e8a444e8c8000ee86a35,S1-R Coloured,invalid,0
5638e8a444e8c8000ee86a35,S2-R,Valid,0.875
5638e8a444e8c8000ee86a35,S2-R,invalid,0.125
56a8bb427f2472000b9522f6,S1-R Coloured,Valid,0.65
56a8bb427f2472000b9522f6,S1-R Coloured,invalid,0.35
56a8bb427f2472000b9522f6,S2-R,Valid,0.575
56a8bb427f2472000b9522f6,S2-R,invalid,0.425
580decae240a2d0001e6bab3,S1-R Coloured,Valid,0.75
580decae240a2d0001e6bab3,S1-R Coloured,invalid,0.25
580decae240a2d0001e6bab3,S2-R,Valid,0.725
580decae240a2d0001e6bab3,S2-R,invalid,0.275
59e1e3a23e4b5a00016a9c17,S1-R Coloured,Valid,0.85
59e1e3a23e4b5a00016a9c17,S1-R Coloured,invalid,0.15
59e1e3a23e4b5a00016a9c17,S2-R,Valid,0.925
59e1e3a23e4b5a00016a9c17,S2-R,invalid,0.075
5aeb063b2f05b500013028a0,S1-R Coloured,Valid,0.65
5aeb063b2f05b500013028a0,S1-R Coloured,invalid,0.35
5aeb063b2f05b500013028a0,S2-R,Valid,0.35
5aeb063b2f05b500013028a0,S2-R,invalid,0.65
5b2870cf7f78160001465bf9,S1-R Coloured,Valid,0.5
5b2870cf7f78160001465bf9,S1-R Coloured,invalid,0.5
5b2870cf7f78160001465bf9,S2-R,Valid,0.45
5b2870cf7f78160001465bf9,S2-R,invalid,0.55
5b985404a15058000124e508,S1-R Coloured,Valid,0.4
5b985404a15058000124e508,S1-R Coloured,invalid,0.6
5b985404a15058000124e508,S2-R,Valid,0.625
5b985404a15058000124e508,S2-R,invalid,0.375
5bc9e924e642db0001d3a1c5,S1-R Coloured,Valid,1
5bc9e924e642db0001d3a1c5,S1-R Coloured,invalid,0
5bc9e924e642db0001d3a1c5,S2-R,Valid,0.775
5bc9e924e642db0001d3a1c5,S2-R,invalid,0.225
5c1942e200849900010afdcd,S1-R Coloured,Valid,0.45
5c1942e200849900010afdcd,S1-R Coloured,invalid,0.55
5c1942e200849900010afdcd,S2-R,Valid,0.675
5c1942e200849900010afdcd,S2-R,invalid,0.325
5c4d1a6c9ce35100019dbc88,S1-R Coloured,Valid,0.8
5c4d1a6c9ce35100019dbc88,S1-R Coloured,invalid,0.2
5c4d1a6c9ce35100019dbc88,S2-R,Valid,0.75
5c4d1a6c9ce35100019dbc88,S2-R,invalid,0.25
5cfc7489e289a80016b6e29f,S1-R Coloured,Valid,0.4
5cfc7489e289a80016b6e29f,S1-R Coloured,invalid,0.6
5cfc7489e289a80016b6e29f,S2-R,Valid,0.45
5cfc7489e289a80016b6e29f,S2-R,invalid,0.55
5d35989e71b4880017d5cc81,S1-R Coloured,Valid,1
5d35989e71b4880017d5cc81,S1-R Coloured,invalid,0
5d35989e71b4880017d5cc81,S2-R,Valid,0.95
5d35989e71b4880017d5cc81,S2-R,invalid,0.05
5da6139c002c29001335b5a2,S1-R Coloured,Valid,0.5
5da6139c002c29001335b5a2,S1-R Coloured,invalid,0.5
5da6139c002c29001335b5a2,S2-R,Valid,0.525
5da6139c002c29001335b5a2,S2-R,invalid,0.475
5de7ccc24b7cf973d7b05bfb,S1-R Coloured,Valid,0.65
5de7ccc24b7cf973d7b05bfb,S1-R Coloured,invalid,0.35
5de7ccc24b7cf973d7b05bfb,S2-R,Valid,0.375
5de7ccc24b7cf973d7b05bfb,S2-R,invalid,0.625
5e7f514bb18cb4000a68310d,S1-R Coloured,Valid,0.15
5e7f514bb18cb4000a68310d,S1-R Coloured,invalid,0.85
5e7f514bb18cb4000a68310d,S2-R,Valid,0.875
5e7f514bb18cb4000a68310d,S2-R,invalid,0.125
5e8b89d0afcb1606e761ef7f,S1-R Coloured,Valid,0.85
5e8b89d0afcb1606e761ef7f,S1-R Coloured,invalid,0.15
5e8b89d0afcb1606e761ef7f,S2-R,Valid,0.775
5e8b89d0afcb1606e761ef7f,S2-R,invalid,0.225
5e92178e8ee4fe54b65b7c39,S1-R Coloured,Valid,0.8
5e92178e8ee4fe54b65b7c39,S1-R Coloured,invalid,0.2
5e92178e8ee4fe54b65b7c39,S2-R,Valid,0.575
5e92178e8ee4fe54b65b7c39,S2-R,invalid,0.425
5eebb8b7011d13119025dcf0,S1-R Coloured,Valid,0.55
5eebb8b7011d13119025dcf0,S1-R Coloured,invalid,0.45
5eebb8b7011d13119025dcf0,S2-R,Valid,0.475
5eebb8b7011d13119025dcf0,S2-R,invalid,0.525
5ef1f7026343e20b931a0cb0,S1-R Coloured,Valid,1
5ef1f7026343e20b931a0cb0,S1-R Coloured,invalid,0
5ef1f7026343e20b931a0cb0,S2-R,Valid,0.725
5ef1f7026343e20b931a0cb0,S2-R,invalid,0.275
5f00fa2353b5c10c934298fa,S1-R Coloured,Valid,0.15
5f00fa2353b5c10c934298fa,S1-R Coloured,invalid,0.85
5f00fa2353b5c10c934298fa,S2-R,Valid,0.575
5f00fa2353b5c10c934298fa,S2-R,invalid,0.425
5f19e162d258ca0921678a36,S1-R Coloured,Valid,0.4
5f19e162d258ca0921678a36,S1-R Coloured,invalid,0.6
5f19e162d258ca0921678a36,S2-R,Valid,0.375
5f19e162d258ca0921678a36,S2-R,invalid,0.625
5f25e860dd98342ce97e7403,S1-R Coloured,Valid,0.55
5f25e860dd98342ce97e7403,S1-R Coloured,invalid,0.45
5f25e860dd98342ce97e7403,S2-R,Valid,0.525
5f25e860dd98342ce97e7403,S2-R,invalid,0.475
5f50732850c7c600098593df,S1-R Coloured,Valid,1
5f50732850c7c600098593df,S1-R Coloured,invalid,0
5f50732850c7c600098593df,S2-R,Valid,0.75
5f50732850c7c600098593df,S2-R,invalid,0.25
5f588fb87204220009eb684f,S1-R Coloured,Valid,0.55
5f588fb87204220009eb684f,S1-R Coloured,invalid,0.45
5f588fb87204220009eb684f,S2-R,Valid,0.75
5f588fb87204220009eb684f,S2-R,invalid,0.25
5f5b2bd1b2430a23a9674a55,S1-R Coloured,Valid,0.75
5f5b2bd1b2430a23a9674a55,S1-R Coloured,invalid,0.25
5f5b2bd1b2430a23a9674a55,S2-R,Valid,0.7
5f5b2bd1b2430a23a9674a55,S2-R,invalid,0.3
5f5f5013f947f6000bd8ddcb,S1-R Coloured,Valid,1
5f5f5013f947f6000bd8ddcb,S1-R Coloured,invalid,0
