PROLIFIC_PID,Validity,Condition,Freq,RT
5638e8a444e8c8000ee86a35,invalid,S1-R Coloured,0,NA
5638e8a444e8c8000ee86a35,invalid,S2-R,5,NA
5638e8a444e8c8000ee86a35,Valid,S1-R Coloured,20,693.1550000190668
5638e8a444e8c8000ee86a35,Valid,S2-R,35,980.1371429034816
56a8bb427f2472000b9522f6,invalid,S1-R Coloured,7,NA
56a8bb427f2472000b9522f6,invalid,S2-R,17,NA
56a8bb427f2472000b9522f6,Valid,S1-R Coloured,13,427.6846153919415
56a8bb427f2472000b9522f6,Valid,S2-R,23,488.3826086909934
580decae240a2d0001e6bab3,invalid,S1-R Coloured,5,NA
580decae240a2d0001e6bab3,invalid,S2-R,11,NA
580decae240a2d0001e6bab3,Valid,S1-R Coloured,15,671.4866666669726
580decae240a2d0001e6bab3,Valid,S2-R,29,739.4379310340763
59e1e3a23e4b5a00016a9c17,invalid,S1-R Coloured,3,NA
59e1e3a23e4b5a00016a9c17,invalid,S2-R,3,NA
59e1e3a23e4b5a00016a9c17,Valid,S1-R Coloured,17,726.7764705699967
59e1e3a23e4b5a00016a9c17,Valid,S2-R,37,686.3594594485154
5aeb063b2f05b500013028a0,invalid,S1-R Coloured,7,NA
5aeb063b2f05b500013028a0,invalid,S2-R,26,NA
5aeb063b2f05b500013028a0,Valid,S1-R Coloured,13,529.1846153552692
5aeb063b2f05b500013028a0,Valid,S2-R,14,667.5642857040641
5b2870cf7f78160001465bf9,invalid,S1-R Coloured,10,NA
5b2870cf7f78160001465bf9,invalid,S2-R,22,NA
5b2870cf7f78160001465bf9,Valid,S1-R Coloured,10,575.4800000012096
5b2870cf7f78160001465bf9,Valid,S2-R,18,573.5499999995
5b985404a15058000124e508,invalid,S1-R Coloured,12,NA
5b985404a15058000124e508,invalid,S2-R,15,NA
5b985404a15058000124e508,Valid,S1-R Coloured,8,408.1250000000125
5b985404a15058000124e508,Valid,S2-R,25,338.4799999999973
5bc9e924e642db0001d3a1c5,invalid,S1-R Coloured,0,NA
5bc9e924e642db0001d3a1c5,invalid,S2-R,9,NA
5bc9e924e642db0001d3a1c5,Valid,S1-R Coloured,20,484.49999999999136
5bc9e924e642db0001d3a1c5,Valid,S2-R,31,711.8709677419313
5c1942e200849900010afdcd,invalid,S1-R Coloured,11,NA
5c1942e200849900010afdcd,invalid,S2-R,13,NA
5c1942e200849900010afdcd,Valid,S1-R Coloured,9,210.51111111045708
5c1942e200849900010afdcd,Valid,S2-R,27,244.35555555477868
5c4d1a6c9ce35100019dbc88,invalid,S1-R Coloured,4,NA
5c4d1a6c9ce35100019dbc88,invalid,S2-R,10,NA
5c4d1a6c9ce35100019dbc88,Valid,S1-R Coloured,16,420.27499999989004
5c4d1a6c9ce35100019dbc88,Valid,S2-R,30,440.60666666577316
5cfc7489e289a80016b6e29f,invalid,S1-R Coloured,12,NA
5cfc7489e289a80016b6e29f,invalid,S2-R,22,NA
5cfc7489e289a80016b6e29f,Valid,S1-R Coloured,8,256.76249999997225
5cfc7489e289a80016b6e29f,Valid,S2-R,18,317.3666666666861
5d35989e71b4880017d5cc81,invalid,S1-R Coloured,0,NA
5d35989e71b4880017d5cc81,invalid,S2-R,2,NA
5d35989e71b4880017d5cc81,Valid,S1-R Coloured,20,566.5149999961358
5d35989e71b4880017d5cc81,Valid,S2-R,38,783.610526313906
5da6139c002c29001335b5a2,invalid,S1-R Coloured,10,NA
5da6139c002c29001335b5a2,invalid,S2-R,19,NA
5da6139c002c29001335b5a2,Valid,S1-R Coloured,10,588.0600000143204
5da6139c002c29001335b5a2,Valid,S2-R,21,561.2666666507678
5de7ccc24b7cf973d7b05bfb,invalid,S1-R Coloured,7,NA
5de7ccc24b7cf973d7b05bfb,invalid,S2-R,25,NA
5de7ccc24b7cf973d7b05bfb,Valid,S1-R Coloured,13,568.1461538460221
5de7ccc24b7cf973d7b05bfb,Valid,S2-R,15,563.6333333328366
5e7f514bb18cb4000a68310d,invalid,S1-R Coloured,17,NA
5e7f514bb18cb4000a68310d,invalid,S2-R,5,NA
5e7f514bb18cb4000a68310d,Valid,S1-R Coloured,3,669.8666666746172
5e7f514bb18cb4000a68310d,Valid,S2-R,35,657.5399999976233
5e8b89d0afcb1606e761ef7f,invalid,S1-R Coloured,3,NA
5e8b89d0afcb1606e761ef7f,invalid,S2-R,9,NA
5e8b89d0afcb1606e761ef7f,Valid,S1-R Coloured,17,1100.4705882282906
5e8b89d0afcb1606e761ef7f,Valid,S2-R,31,1332.8354838682615
5e92178e8ee4fe54b65b7c39,invalid,S1-R Coloured,4,NA
5e92178e8ee4fe54b65b7c39,invalid,S2-R,17,NA
5e92178e8ee4fe54b65b7c39,Valid,S1-R Coloured,16,600.4437500014888
5e92178e8ee4fe54b65b7c39,Valid,S2-R,23,552.1086956573674
5eebb8b7011d13119025dcf0,invalid,S1-R Coloured,9,NA
5eebb8b7011d13119025dcf0,invalid,S2-R,21,NA
5eebb8b7011d13119025dcf0,Valid,S1-R Coloured,11,795.2090909047395
5eebb8b7011d13119025dcf0,Valid,S2-R,19,293.31052631138584
5ef1f7026343e20b931a0cb0,invalid,S1-R Coloured,0,NA
5ef1f7026343e20b931a0cb0,invalid,S2-R,11,NA
5ef1f7026343e20b931a0cb0,Valid,S1-R Coloured,20,561.3499999999931
5ef1f7026343e20b931a0cb0,Valid,S2-R,29,558.5172413793105
5f00fa2353b5c10c934298fa,invalid,S1-R Coloured,17,NA
5f00fa2353b5c10c934298fa,invalid,S2-R,17,NA
5f00fa2353b5c10c934298fa,Valid,S1-R Coloured,3,455.2666666656175
5f00fa2353b5c10c934298fa,Valid,S2-R,23,549.3739130451222
5f19e162d258ca0921678a36,invalid,S1-R Coloured,12,NA
5f19e162d258ca0921678a36,invalid,S2-R,25,NA
5f19e162d258ca0921678a36,Valid,S1-R Coloured,8,3245.750000000015
5f19e162d258ca0921678a36,Valid,S2-R,15,236.26666666667688
5f25e860dd98342ce97e7403,invalid,S1-R Coloured,9,NA
5f25e860dd98342ce97e7403,invalid,S2-R,19,NA
5f25e860dd98342ce97e7403,Valid,S1-R Coloured,11,256.94545454868745
5f25e860dd98342ce97e7403,Valid,S2-R,21,264.25714285457906
5f50732850c7c600098593df,invalid,S1-R Coloured,0,NA
5f50732850c7c600098593df,invalid,S2-R,10,NA
5f50732850c7c600098593df,Valid,S1-R Coloured,20,793.3099999999968
5f50732850c7c600098593df,Valid,S2-R,30,579.9599999999392
5f588fb87204220009eb684f,invalid,S1-R Coloured,9,NA
5f588fb87204220009eb684f,invalid,S2-R,10,NA
5f588fb87204220009eb684f,Valid,S1-R Coloured,11,586.3090909091242
5f588fb87204220009eb684f,Valid,S2-R,30,443.56333333346356
5f5b2bd1b2430a23a9674a55,invalid,S1-R Coloured,5,NA
5f5b2bd1b2430a23a9674a55,invalid,S2-R,12,NA
