PROLIFIC_PID,Validity,Condition,Freq,PC,RT
5638e8a444e8c8000ee86a35,Valid,S1-R Transfer,20,1,875.3400000095297
56a8bb427f2472000b9522f6,invalid,S1-R Transfer,16,0.8,355.2375000156722
56a8bb427f2472000b9522f6,Valid,S1-R Transfer,4,0.2,413.87499998512567
580decae240a2d0001e6bab3,invalid,S1-R Transfer,7,0.35,688.2571428572289
580decae240a2d0001e6bab3,Valid,S1-R Transfer,13,0.65,691.9384615381082
59e1e3a23e4b5a00016a9c17,invalid,S1-R Transfer,12,0.6,718.5583333075082
59e1e3a23e4b5a00016a9c17,Valid,S1-R Transfer,8,0.4,772.274999991069
5aeb063b2f05b500013028a0,invalid,S1-R Transfer,13,0.65,431.6384615256434
5aeb063b2f05b500013028a0,Valid,S1-R Transfer,7,0.35,424.9285714455969
5b2870cf7f78160001465bf9,invalid,S1-R Transfer,5,0.25,577.2600000008765
5b2870cf7f78160001465bf9,Valid,S1-R Transfer,15,0.75,466.00666666676034
5b985404a15058000124e508,invalid,S1-R Transfer,11,0.55,495.9090909090998
5b985404a15058000124e508,Valid,S1-R Transfer,9,0.45,356.5555555555559
5bc9e924e642db0001d3a1c5,invalid,S1-R Transfer,5,0.25,808.7999999999965
5bc9e924e642db0001d3a1c5,Valid,S1-R Transfer,15,0.75,694.1999999999894
5c1942e200849900010afdcd,invalid,S1-R Transfer,7,0.35,292.64285714072815
5c1942e200849900010afdcd,Valid,S1-R Transfer,13,0.65,249.62307692033374
5c4d1a6c9ce35100019dbc88,invalid,S1-R Transfer,12,0.6,467.5500000001212
5c4d1a6c9ce35100019dbc88,Valid,S1-R Transfer,8,0.4,614.7749999994545
5cfc7489e289a80016b6e29f,invalid,S1-R Transfer,9,0.45,369.2999999999908
5cfc7489e289a80016b6e29f,Valid,S1-R Transfer,11,0.55,372.45454545451264
5d35989e71b4880017d5cc81,invalid,S1-R Transfer,5,0.25,818.6599999964415
5d35989e71b4880017d5cc81,Valid,S1-R Transfer,15,0.75,683.6066666623007
5da6139c002c29001335b5a2,invalid,S1-R Transfer,12,0.6,471.1166666745423
5da6139c002c29001335b5a2,Valid,S1-R Transfer,8,0.4,378.71250000594614
5de7ccc24b7cf973d7b05bfb,invalid,S1-R Transfer,12,0.6,592.1583333332023
5de7ccc24b7cf973d7b05bfb,Valid,S1-R Transfer,8,0.4,588.7625000011099
5e7f514bb18cb4000a68310d,invalid,S1-R Transfer,9,0.45,712.2111111051607
5e7f514bb18cb4000a68310d,Valid,S1-R Transfer,11,0.55,512.3636363636438
5e8b89d0afcb1606e761ef7f,invalid,S1-R Transfer,10,0.5,1513.1399999975656
5e8b89d0afcb1606e761ef7f,Valid,S1-R Transfer,10,0.5,882.2700000048371
5e92178e8ee4fe54b65b7c39,invalid,S1-R Transfer,7,0.35,546.7571428588534
5e92178e8ee4fe54b65b7c39,Valid,S1-R Transfer,13,0.65,515.6461538443165
5eebb8b7011d13119025dcf0,invalid,S1-R Transfer,11,0.55,238.45454545454976
