PROLIFIC_PID,ChoiceType,Phase,Condition,Stim1,Stim2,Validity,FreeChoiceResp,Response.keys,FreeChoiceAccuracy,RT_io,SSAwareness,S2RAwareness,S2RAwarenessyn,S1Awareness,S1Awarenessyn,S1TransferAwareness
5638e8a444e8c8000ee86a35,Free,3.1,S1-R Transfer,Max,NA,Valid,d,"[""d""]",1,1316.000000000031,1,1,1,NA,NA,-1
5638e8a444e8c8000ee86a35,Free,3.1,S1-R Transfer,Tim,NA,Valid,l,"[""l""]",1,966.400000095348,1,1,-1,NA,NA,1
5638e8a444e8c8000ee86a35,Free,3.1,S1-R Transfer,Max,NA,Valid,d,"[""d""]",1,NA,1,1,1,NA,NA,-1
5638e8a444e8c8000ee86a35,Free,3.1,S1-R Transfer,Tim,NA,Valid,l,"[""l""]",1,726.9000000953838,1,1,-1,NA,NA,1
5638e8a444e8c8000ee86a35,Free,3.1,S1-R Transfer,Max,NA,Valid,d,"[""d""]",1,1732.7000002861157,1,1,1,NA,NA,-1
5638e8a444e8c8000ee86a35,Free,3.1,S1-R Transfer,Tim,NA,Valid,l,"[""l""]",1,738.6999998092278,1,1,-1,NA,NA,1
5638e8a444e8c8000ee86a35,Free,3.1,S1-R Transfer,Max,NA,Valid,d,"[""d""]",1,1267.5999999046326,1,1,1,NA,NA,-1
5638e8a444e8c8000ee86a35,Free,3.1,S1-R Transfer,Tim,NA,Valid,l,"[""l""]",1,751.3000001907812,1,1,-1,NA,NA,1
5638e8a444e8c8000ee86a35,Free,3.1,S1-R Transfer,Max,NA,Valid,d,"[""d""]",1,701.2000002861214,1,1,1,NA,NA,-1
5638e8a444e8c8000ee86a35,Free,3.1,S1-R Transfer,Tim,NA,Valid,l,"[""l""]",1,953.599999904668,1,1,-1,NA,NA,1
5638e8a444e8c8000ee86a35,Free,3.1,S1-R Transfer,Tim,NA,Valid,l,"[""l""]",1,833.6999998092551,1,1,-1,NA,NA,1
5638e8a444e8c8000ee86a35,Free,3.1,S1-R Transfer,Max,NA,Valid,d,"[""d""]",1,565.0999999045325,1,1,1,NA,NA,-1
5638e8a444e8c8000ee86a35,Free,3.1,S1-R Transfer,Max,NA,Valid,d,"[""d""]",1,533.9000000954002,1,1,1,NA,NA,-1
5638e8a444e8c8000ee86a35,Free,3.1,S1-R Transfer,Tim,NA,Valid,l,"[""l""]",1,703.2999997138631,1,1,-1,NA,NA,1
5638e8a444e8c8000ee86a35,Free,3.1,S1-R Transfer,Tim,NA,Valid,l,"[""l""]",1,381.8000001907649,1,1,-1,NA,NA,1
5638e8a444e8c8000ee86a35,Free,3.1,S1-R Transfer,Max,NA,Valid,d,"[""d""]",1,600.0999999046144,1,1,1,NA,NA,-1
5638e8a444e8c8000ee86a35,Free,3.1,S1-R Transfer,Tim,NA,Valid,l,"[""l""]",1,1065.899999618523,1,1,-1,NA,NA,1
5638e8a444e8c8000ee86a35,Free,3.1,S1-R Transfer,Max,NA,Valid,d,"[""d""]",1,400.80000019077033,1,1,1,NA,NA,-1
5638e8a444e8c8000ee86a35,Free,3.1,S1-R Transfer,Max,NA,Valid,d,"[""d""]",1,499.9000000952947,1,1,1,NA,NA,-1
5638e8a444e8c8000ee86a35,Free,3.1,S1-R Transfer,Tim,NA,Valid,l,"[""l""]",1,786.9999999999209,1,1,-1,NA,NA,1
56a8bb427f2472000b9522f6,Free,3.1,S1-R Transfer,Max,NA,invalid,l,"[""l""]",0,NA,-1,-1,1,NA,NA,1
56a8bb427f2472000b9522f6,Free,3.1,S1-R Transfer,Tim,NA,invalid,d,"[""d""]",0,NA,1,1,1,NA,NA,-1
56a8bb427f2472000b9522f6,Free,3.1,S1-R Transfer,Tim,NA,invalid,d,"[""d""]",0,NA,1,1,1,NA,NA,-1
56a8bb427f2472000b9522f6,Free,3.1,S1-R Transfer,Max,NA,invalid,l,"[""l""]",0,NA,-1,-1,1,NA,NA,1
56a8bb427f2472000b9522f6,Free,3.1,S1-R Transfer,Max,NA,Valid,d,"[""d""]",1,449.89999997619634,-1,-1,1,NA,NA,1
56a8bb427f2472000b9522f6,Free,3.1,S1-R Transfer,Tim,NA,invalid,d,"[""d""]",0,NA,1,1,1,NA,NA,-1
56a8bb427f2472000b9522f6,Free,3.1,S1-R Transfer,Max,NA,Valid,d,"[""d""]",1,518.5000000000173,-1,-1,1,NA,NA,1
56a8bb427f2472000b9522f6,Free,3.1,S1-R Transfer,Tim,NA,invalid,d,"[""d""]",0,NA,1,1,1,NA,NA,-1
56a8bb427f2472000b9522f6,Free,3.1,S1-R Transfer,Tim,NA,Valid,l,"[""l""]",1,502.8999999761936,1,1,1,NA,NA,-1
56a8bb427f2472000b9522f6,Free,3.1,S1-R Transfer,Max,NA,invalid,l,"[""l""]",0,NA,-1,-1,1,NA,NA,1
56a8bb427f2472000b9522f6,Free,3.1,S1-R Transfer,Max,NA,invalid,l,"[""l""]",0,NA,-1,-1,1,NA,NA,1
56a8bb427f2472000b9522f6,Free,3.1,S1-R Transfer,Tim,NA,invalid,d,"[""d""]",0,NA,1,1,1,NA,NA,-1
56a8bb427f2472000b9522f6,Free,3.1,S1-R Transfer,Tim,NA,invalid,d,"[""d""]",0,NA,1,1,1,NA,NA,-1
56a8bb427f2472000b9522f6,Free,3.1,S1-R Transfer,Max,NA,invalid,l,"[""l""]",0,NA,-1,-1,1,NA,NA,1
56a8bb427f2472000b9522f6,Free,3.1,S1-R Transfer,Tim,NA,invalid,d,"[""d""]",0,NA,1,1,1,NA,NA,-1
56a8bb427f2472000b9522f6,Free,3.1,S1-R Transfer,Max,NA,invalid,l,"[""l""]",0,NA,-1,-1,1,NA,NA,1
56a8bb427f2472000b9522f6,Free,3.1,S1-R Transfer,Tim,NA,invalid,d,"[""d""]",0,NA,1,1,1,NA,NA,-1
56a8bb427f2472000b9522f6,Free,3.1,S1-R Transfer,Max,NA,invalid,l,"[""l""]",0,NA,-1,-1,1,NA,NA,1
56a8bb427f2472000b9522f6,Free,3.1,S1-R Transfer,Max,NA,invalid,l,"[""l""]",0,NA,-1,-1,1,NA,NA,1
56a8bb427f2472000b9522f6,Free,3.1,S1-R Transfer,Tim,NA,Valid,l,"[""l""]",1,184.19999998809544,1,1,1,NA,NA,-1
580decae240a2d0001e6bab3,Free,3.1,S1-R Transfer,Max,NA,invalid,l,"[""l""]",0,NA,1,-1,1,NA,NA,-1
