PROLIFIC_PID,Validity,Condition,RT,ER
5638e8a444e8c8000ee86a35,invalid,S1-R Coloured,662.9928571496829,0.0625
5638e8a444e8c8000ee86a35,invalid,S2-R,599.8285714217551,0
5638e8a444e8c8000ee86a35,valid,S1-R Coloured,577.6066666603052,0.0625
5638e8a444e8c8000ee86a35,valid,S2-R,626.1359999847264,0.0625
56a8bb427f2472000b9522f6,invalid,S1-R Coloured,534.9937500059525,0
56a8bb427f2472000b9522f6,invalid,S2-R,475.8120000052486,0.125
56a8bb427f2472000b9522f6,valid,S1-R Coloured,485.2214285774039,0.125
56a8bb427f2472000b9522f6,valid,S2-R,546.4925925974529,0.0625
580decae240a2d0001e6bab3,invalid,S1-R Coloured,533.475000000081,0
580decae240a2d0001e6bab3,invalid,S2-R,561.2923076920642,0.0625
580decae240a2d0001e6bab3,valid,S1-R Coloured,551.8533333338913,0
580decae240a2d0001e6bab3,valid,S2-R,550.8758620690412,0.03125
59e1e3a23e4b5a00016a9c17,invalid,S1-R Coloured,544.0357142942552,0.0625
59e1e3a23e4b5a00016a9c17,invalid,S2-R,574.6250000148952,0.09375
59e1e3a23e4b5a00016a9c17,valid,S1-R Coloured,552.5933333158567,0.0625
59e1e3a23e4b5a00016a9c17,valid,S2-R,548.5833333293613,0.03125
5aeb063b2f05b500013028a0,invalid,S1-R Coloured,439.72307693960687,0.0625
5aeb063b2f05b500013028a0,invalid,S2-R,452.5269230970996,0.0625
5aeb063b2f05b500013028a0,valid,S1-R Coloured,440.98999998572026,0.125
5aeb063b2f05b500013028a0,valid,S2-R,464.13214285459503,0.09375
5b2870cf7f78160001465bf9,invalid,S1-R Coloured,537.1562499999953,0
5b2870cf7f78160001465bf9,invalid,S2-R,518.7600000001453,0.03125
5b2870cf7f78160001465bf9,valid,S1-R Coloured,523.468749999978,0
5b2870cf7f78160001465bf9,valid,S2-R,521.8677419347144,0.03125
5b985404a15058000124e508,invalid,S1-R Coloured,491.19999999996935,0.0625
5b985404a15058000124e508,invalid,S2-R,485.88888888889414,0
5b985404a15058000124e508,valid,S1-R Coloured,498.6363636363649,0.0625
5b985404a15058000124e508,valid,S2-R,465.2142857142922,0
5bc9e924e642db0001d3a1c5,invalid,S1-R Coloured,459.7692307692289,0
5bc9e924e642db0001d3a1c5,invalid,S2-R,485.2307692307555,0
5bc9e924e642db0001d3a1c5,valid,S1-R Coloured,497.4666666666432,0
5bc9e924e642db0001d3a1c5,valid,S2-R,471.17857142856275,0.03125
5c1942e200849900010afdcd,invalid,S1-R Coloured,350.53333333232786,0.0625
5c1942e200849900010afdcd,invalid,S2-R,393.95599999904334,0.1875
5c1942e200849900010afdcd,valid,S1-R Coloured,426.11111110944773,0.3125
5c1942e200849900010afdcd,valid,S2-R,404.7952380975197,0.1875
5c4d1a6c9ce35100019dbc88,invalid,S1-R Coloured,454.0333333323436,0.0625
