PROLIFIC_PID,Condition,Validity,PC
5638e8a444e8c8000ee86a35,S1-R Transfer,Valid,0.40625
5638e8a444e8c8000ee86a35,S1-R Transfer,invalid,0.59375
56a8bb427f2472000b9522f6,S1-R Transfer,Valid,0.5
56a8bb427f2472000b9522f6,S1-R Transfer,invalid,0.5
580decae240a2d0001e6bab3,S1-R Transfer,Valid,0.4375
580decae240a2d0001e6bab3,S1-R Transfer,invalid,0.5625
59e1e3a23e4b5a00016a9c17,S1-R Transfer,Valid,0.8125
59e1e3a23e4b5a00016a9c17,S1-R Transfer,invalid,0.1875
5aeb063b2f05b500013028a0,S1-R Transfer,Valid,0.6875
5aeb063b2f05b500013028a0,S1-R Transfer,invalid,0.3125
5b2870cf7f78160001465bf9,S1-R Transfer,Valid,0.5
5b2870cf7f78160001465bf9,S1-R Transfer,invalid,0.5
5b985404a15058000124e508,S1-R Transfer,Valid,0.71875
5b985404a15058000124e508,S1-R Transfer,invalid,0.28125
5bc9e924e642db0001d3a1c5,S1-R Transfer,Valid,0.6875
5bc9e924e642db0001d3a1c5,S1-R Transfer,invalid,0.3125
5c1942e200849900010afdcd,S1-R Transfer,Valid,0.53125
5c1942e200849900010afdcd,S1-R Transfer,invalid,0.46875
5c4d1a6c9ce35100019dbc88,S1-R Transfer,Valid,0.4375
5c4d1a6c9ce35100019dbc88,S1-R Transfer,invalid,0.5625
5cfc7489e289a80016b6e29f,S1-R Transfer,Valid,0.375
5cfc7489e289a80016b6e29f,S1-R Transfer,invalid,0.625
5d35989e71b4880017d5cc81,S1-R Transfer,Valid,0.4375
5d35989e71b4880017d5cc81,S1-R Transfer,invalid,0.5625
5da6139c002c29001335b5a2,S1-R Transfer,Valid,0.25
5da6139c002c29001335b5a2,S1-R Transfer,invalid,0.75
5de7ccc24b7cf973d7b05bfb,S1-R Transfer,Valid,0.46875
5de7ccc24b7cf973d7b05bfb,S1-R Transfer,invalid,0.53125
5e7f514bb18cb4000a68310d,S1-R Transfer,Valid,0.46875
5e7f514bb18cb4000a68310d,S1-R Transfer,invalid,0.53125
5e8b89d0afcb1606e761ef7f,S1-R Transfer,Valid,0.5625
5e8b89d0afcb1606e761ef7f,S1-R Transfer,invalid,0.4375
5e92178e8ee4fe54b65b7c39,S1-R Transfer,Valid,0.5
5e92178e8ee4fe54b65b7c39,S1-R Transfer,invalid,0.5
5eebb8b7011d13119025dcf0,S1-R Transfer,Valid,0.09375
5eebb8b7011d13119025dcf0,S1-R Transfer,invalid,0.90625
5ef1f7026343e20b931a0cb0,S1-R Transfer,Valid,0.59375
5ef1f7026343e20b931a0cb0,S1-R Transfer,invalid,0.40625
5f00fa2353b5c10c934298fa,S1-R Transfer,Valid,0.28125
5f00fa2353b5c10c934298fa,S1-R Transfer,invalid,0.71875
5f19e162d258ca0921678a36,S1-R Transfer,Valid,0.4375
5f19e162d258ca0921678a36,S1-R Transfer,invalid,0.5625
5f25e860dd98342ce97e7403,S1-R Transfer,Valid,0.8125
5f25e860dd98342ce97e7403,S1-R Transfer,invalid,0.1875
5f50732850c7c600098593df,S1-R Transfer,Valid,0
5f50732850c7c600098593df,S1-R Transfer,invalid,1
5f588fb87204220009eb684f,S1-R Transfer,Valid,0.5625
5f588fb87204220009eb684f,S1-R Transfer,invalid,0.4375
5f5b2bd1b2430a23a9674a55,S1-R Transfer,Valid,0.53125
5f5b2bd1b2430a23a9674a55,S1-R Transfer,invalid,0.46875
5f5f5013f947f6000bd8ddcb,S1-R Transfer,Valid,0.125
5f5f5013f947f6000bd8ddcb,S1-R Transfer,invalid,0.875
5f6e36c7f042f033d0f97bc1,S1-R Transfer,Valid,0.53125
5f6e36c7f042f033d0f97bc1,S1-R Transfer,invalid,0.46875
5fa3dc74fefcb501f909c68a,S1-R Transfer,Valid,0.59375
5fa3dc74fefcb501f909c68a,S1-R Transfer,invalid,0.40625
5ff792bdc0091e494e352e9b,S1-R Transfer,Valid,0.71875
5ff792bdc0091e494e352e9b,S1-R Transfer,invalid,0.28125
600de3bf29e45455345fa8b5,S1-R Transfer,Valid,1
600de3bf29e45455345fa8b5,S1-R Transfer,invalid,0
6034e8e3628ecdf282096ccf,S1-R Transfer,Valid,0.5
6034e8e3628ecdf282096ccf,S1-R Transfer,invalid,0.5
60603496c9a3d83273a11297,S1-R Transfer,Valid,0.53125
60603496c9a3d83273a11297,S1-R Transfer,invalid,0.46875
6066d08253019ea549b1dd37,S1-R Transfer,Valid,0.5
6066d08253019ea549b1dd37,S1-R Transfer,invalid,0.5
6085a4cc5f5f9ba1a3bfd785,S1-R Transfer,Valid,0.46875
6085a4cc5f5f9ba1a3bfd785,S1-R Transfer,invalid,0.53125
6088e7b7d327c199db58cf61,S1-R Transfer,Valid,0.375
6088e7b7d327c199db58cf61,S1-R Transfer,invalid,0.625
60967660853e8fcaf410748b,S1-R Transfer,Valid,0.46875
60967660853e8fcaf410748b,S1-R Transfer,invalid,0.53125
60a97537bf4b23dbaba42403,S1-R Transfer,Valid,0.53125
60a97537bf4b23dbaba42403,S1-R Transfer,invalid,0.46875
60abbbce67335394c314a00a,S1-R Transfer,Valid,0.5
60abbbce67335394c314a00a,S1-R Transfer,invalid,0.5
60b3950b9a1de417d37bb8d2,S1-R Transfer,Valid,0.375
60b3950b9a1de417d37bb8d2,S1-R Transfer,invalid,0.625
60b91383e5e9ab787f581f7c,S1-R Transfer,Valid,0.59375
60b91383e5e9ab787f581f7c,S1-R Transfer,invalid,0.40625
60cb63abf6f1053d9577e1fe,S1-R Transfer,Valid,0.53125
60cb63abf6f1053d9577e1fe,S1-R Transfer,invalid,0.46875
60d432ce6e413e7509dd4b78,S1-R Transfer,Valid,0.25
60d432ce6e413e7509dd4b78,S1-R Transfer,invalid,0.75
60dbd1a6bb3d411213cef6bc,S1-R Transfer,Valid,0.4375
60dbd1a6bb3d411213cef6bc,S1-R Transfer,invalid,0.5625
60df713d7718de2a4065b80b,S1-R Transfer,Valid,0.5625
60df713d7718de2a4065b80b,S1-R Transfer,invalid,0.4375
60f91d62ce12ac59792a3f6e,S1-R Transfer,Valid,0.6875
60f91d62ce12ac59792a3f6e,S1-R Transfer,invalid,0.3125
60fcebba7345a976efc9c080,S1-R Transfer,Valid,0.53125
60fcebba7345a976efc9c080,S1-R Transfer,invalid,0.46875
60fd080d5476f4a77211bafb,S1-R Transfer,Valid,0.5
60fd080d5476f4a77211bafb,S1-R Transfer,invalid,0.5
60fd7f782b0c5f0b6503302a,S1-R Transfer,Valid,0.5625
60fd7f782b0c5f0b6503302a,S1-R Transfer,invalid,0.4375
60fdaf5b539bcc4d2724d6a4,S1-R Transfer,Valid,0.59375
60fdaf5b539bcc4d2724d6a4,S1-R Transfer,invalid,0.40625
60fdb83606ba18b3b54215fa,S1-R Transfer,Valid,0.65625
60fdb83606ba18b3b54215fa,S1-R Transfer,invalid,0.34375
6102dacce29b57b1e268c13a,S1-R Transfer,Valid,0.25
6102dacce29b57b1e268c13a,S1-R Transfer,invalid,0.75
610826a7604223dea33406f1,S1-R Transfer,Valid,0.78125
610826a7604223dea33406f1,S1-R Transfer,invalid,0.21875
6108ac1e801e23ad2a25e7f0,S1-R Transfer,Valid,0.28125
6108ac1e801e23ad2a25e7f0,S1-R Transfer,invalid,0.71875
6111234ac8cfa49e38acbfb4,S1-R Transfer,Valid,0.84375
6111234ac8cfa49e38acbfb4,S1-R Transfer,invalid,0.15625
6114681d3dcdb4a295eec181,S1-R Transfer,Valid,0.46875
6114681d3dcdb4a295eec181,S1-R Transfer,invalid,0.53125
611645b93f0840eae41426f5,S1-R Transfer,Valid,0.5625
611645b93f0840eae41426f5,S1-R Transfer,invalid,0.4375
611ff6cc935b6de3fff0b896,S1-R Transfer,Valid,0.5
611ff6cc935b6de3fff0b896,S1-R Transfer,invalid,0.5
61436bd26638b05527a135cb,S1-R Transfer,Valid,0.5
61436bd26638b05527a135cb,S1-R Transfer,invalid,0.5
6147724c13bb365774e24af1,S1-R Transfer,Valid,0.46875
6147724c13bb365774e24af1,S1-R Transfer,invalid,0.53125
6165ab1d62dc48b90438ea1d,S1-R Transfer,Valid,0.4375
6165ab1d62dc48b90438ea1d,S1-R Transfer,invalid,0.5625
616fe12dc33a81b79f5d958a,S1-R Transfer,Valid,0.5
616fe12dc33a81b79f5d958a,S1-R Transfer,invalid,0.5
61f2ad60a09e72f23cbaf86d,S1-R Transfer,Valid,0.34375
61f2ad60a09e72f23cbaf86d,S1-R Transfer,invalid,0.65625
622b64053557c445641d767a,S1-R Transfer,Valid,0.28125
622b64053557c445641d767a,S1-R Transfer,invalid,0.71875
627e807715abf2361938fd68,S1-R Transfer,Valid,0.28125
627e807715abf2361938fd68,S1-R Transfer,invalid,0.71875
6286672d0165aad8f1386c27,S1-R Transfer,Valid,0.5
6286672d0165aad8f1386c27,S1-R Transfer,invalid,0.5
628bbdac4ba783931f487fd8,S1-R Transfer,Valid,0.875
628bbdac4ba783931f487fd8,S1-R Transfer,invalid,0.125
628fc75b2561940f60f57b37,S1-R Transfer,Valid,0.46875
628fc75b2561940f60f57b37,S1-R Transfer,invalid,0.53125
629082739390703f993b12bd,S1-R Transfer,Valid,0.53125
629082739390703f993b12bd,S1-R Transfer,invalid,0.46875
6294c3c360a62ab4c18a4ffd,S1-R Transfer,Valid,0.5
6294c3c360a62ab4c18a4ffd,S1-R Transfer,invalid,0.5
629552d66a0ad893867fa675,S1-R Transfer,Valid,0.6875
629552d66a0ad893867fa675,S1-R Transfer,invalid,0.3125
62964243018e89ba8d83384b,S1-R Transfer,Valid,0.78125
62964243018e89ba8d83384b,S1-R Transfer,invalid,0.21875
